Abbreviations,Text
rofl, 
brb,be right back
ily,i love you
ty,thank you
imy,i miss you
fomo,fear of missing out
idk,i do not know
idc,i do not care
ffs,for fucks sake
smh,shake my head
ngl,not going to lie
w,with
abt,about
r,are
gtg,going to go
nvm,never mind
bcoz,because
coz,because
bcos,because
cld,could
ez,easy
fbm,fine by me
ftw,for the win
fyi,for your information
ik,i know
wfh,work from home
lmfao, 
lmk,let me know
af,as fuck
awol,away without leaving
irl,in real life
bt,bad trip
bb,baby
btw,by the way 
cu,see you
idgaf,i don't give a fuck
dgaf,don't give a fuck
df,the fuck 
dis,this
dm,direct message
dnt,don't 
dw,don't worry
enf,enough
eta,estimated time of arrival
ftw,for the win
fu,fuck you
fwm,fine with me
gg,good game
gn,good night
gm,good morning
gr8,great
grl,girl
grw,get ready with me
h8,hate
hbd,happy birthday
hbu,how about you
hru,how are you
hw,homework
idts,i don't think so
ig,instagram
ilysm,i love you so much
imo,in my opinion
jk,just kidding
k,okay
ldr,long distance relationship
l2g,like to go
ly,love you
mfw,my face when
m8,mate
nbd,no big deal
nsfw,not safe for work
nm,nothing much
np,no problem
nw,no way
og,original gangster
ofc,of course
ootd,outfit of the day
otb,off to bed
otw,off to work
pm,private message
ppl,people
prob,probably
qt,cutie
rly,really
sh,same here
sry,sorry
sup,what's up
tbh,to be honest
thnk,thank you
thx,thanks
ttly,totally
ttyl,talk to you later
ur,you are
wb,welcome back
whatevs,whatever
wyd,what are you doing
wdyk,what do you know
wru,where are you
wtf,what the fuck
wtg,way to go
wywh,wish you were here
XD, 
xoxo, 
xo, 
y,why
tryna,trying to be 
lmao, 
f,fuck
fvck,fuck
u,you
fav,favorite
fucc,fuck you
asf,as fuck
b4,before
fr,for real
me2,me too
shite,shit
ofc,of course
fytb,fuck you talking about
qol,quality of life
omg,oh my god
trk, 
stfu,shut the fuck up
bfd,big fucking deal
theyre,they're
ive,i've
